date,open,high,low,close,volume
2024-01-02,42100,42350,42050,42250,32000000000
2024-01-03,42250,42500,42180,42450,33500000000
2024-01-04,42450,42780,42390,42700,32800000000
2024-01-05,42700,42950,42650,42900,31000000000
2024-01-08,42900,43150,42850,43100,34200000000
2024-01-09,43100,43350,43050,43300,33800000000
2024-01-10,43300,43580,43250,43550,31500000000
2024-01-11,43550,43800,43480,43750,32000000000
2024-01-12,43750,44010,43690,43980,32500000000
2024-01-16,43980,44220,43950,44180,31800000000
2024-01-17,44180,44410,44100,44350,33000000000
2024-01-18,44350,44600,44280,44550,33500000000
2024-01-19,44550,44820,44490,44780,32800000000
2024-01-22,44780,45030,44720,44980,32200000000
2024-01-23,44980,45210,44920,45150,32900000000
2024-01-24,45150,45400,45080,45350,33100000000
2024-01-25,45350,45610,45290,45560,32700000000
2024-01-26,45560,45820,45500,45750,32000000000
2024-01-29,45750,46010,45690,45950,32200000000
2024-01-30,45950,46220,45880,46150,33000000000
