date,open,high,low,close,volume
2024-01-02,19250,19280,19210,19245,850000
2024-01-03,19245,19310,19230,19295,920000
2024-01-04,19295,19340,19270,19320,780000
2024-01-05,19320,19360,19305,19355,810000
2024-01-08,19355,19390,19330,19380,860000
2024-01-09,19380,19410,19350,19395,750000
2024-01-10,19395,19440,19380,19430,810000
2024-01-11,19430,19460,19410,19450,790000
2024-01-12,19450,19480,19430,19475,820000
2024-01-16,19475,19510,19460,19500,840000
2024-01-17,19500,19540,19490,19530,860000
2024-01-18,19530,19570,19520,19560,810000
2024-01-19,19560,19590,19545,19580,780000
2024-01-22,19580,19620,19570,19610,830000
2024-01-23,19610,19640,19600,19630,790000
2024-01-24,19630,19660,19620,19650,850000
2024-01-25,19650,19690,19640,19680,870000
2024-01-26,19680,19720,19670,19710,820000
2024-01-29,19710,19740,19705,19730,790000
2024-01-30,19730,19760,19725,19750,800000
