date,open,high,low,close,volume
2024-01-02,476.5,477.2,476.0,476.9,68000000
2024-01-03,476.9,477.8,476.5,477.5,72000000
2024-01-04,477.5,478.3,477.0,478.1,69000000
2024-01-05,478.1,479.0,477.8,478.8,71000000
2024-01-08,478.8,479.5,478.5,479.3,67000000
2024-01-09,479.3,480.1,479.0,479.9,75000000
2024-01-10,479.9,480.7,479.7,480.5,73000000
2024-01-11,480.5,481.2,480.3,481.0,70000000
2024-01-12,481.0,481.8,480.9,481.6,72000000
2024-01-16,481.6,482.4,481.5,482.2,71000000
2024-01-17,482.2,483.0,482.1,482.8,74000000
2024-01-18,482.8,483.5,482.7,483.3,76000000
2024-01-19,483.3,484.0,483.2,483.9,72500000
2024-01-22,483.9,484.7,483.8,484.5,75000000
2024-01-23,484.5,485.2,484.4,485.0,73500000
2024-01-24,485.0,485.8,484.9,485.6,74500000
2024-01-25,485.6,486.3,485.5,486.1,76000000
2024-01-26,486.1,486.8,486.0,486.6,75000000
2024-01-29,486.6,487.3,486.5,487.1,77000000
2024-01-30,487.1,487.8,487.0,487.6,78000000
